JobTitles,JobSkills,CompanyNames,LocationNames
Senior Python Developer,"Python,Information Technology (IT),Software,fast API,Kubernetes,PostgreSQL,Programming,Software Development,CI/CD",Optiveum Sp. z o.o.,"Berlin, Germany"
DjangoPython Back End Developer,"Django Framework,Django,Back-End Development,Software Engineering,Software Development,SQL,Python,python development",Confidential,"Cairo, Egypt"
Full-Stack PythonDjangoVue.js Developer,"Python,Django,Django Framework,Vue.js,Full Stack Development,HTML5,CSS",42 Coffee Cups,"Tallinn, Estonia"
Senior Python Web Developer,"Django,Python,Flask,Web Development,Information Technology (IT),Computer Science,Software Development",Docspert,"Nasr City, Cairo, Egypt"
Web Development Manager,"CSS,HTML,Information Technology (IT),MVC,Software Development,Git,JavaScript",WEmng,"New Cairo, Cairo, Egypt"
Senior Django Developer,"Django,Django Framework,Framework,Information Technology (IT),Python,Software Development,Software Engineering,SQL",Crepixa,"Cairo, Egypt"
Data Quality Assurance Analyst Engineer,"Analysis,Communication,Communication skills,Computer Science,Data Analysis,Engineering,Programming",Z2 Data,"Banha, Qalubia, Egypt"
Senior DevOps Engineer - Cairo,"AWS,Computer Science,Docker,Engineering,Git,Information Technology (IT),Linux,JSON",FlairsTech,"Maadi, Cairo, Egypt"
Odoo Developer,"odoo,Information Technology (IT),Software,Python,Communication skills,Computer Science,JavaScript,jQuery",Devest,"Nasr City, Cairo, Egypt"
Junior ERPNext Developer,"ERPNext,Software Development,English,Information Technology (IT),Python,SQL,JavaScript,CSS",Confidential,"Azarita, Alexandria, Egypt"
Data Entry Clerk,"Information Technology (IT),Microsoft Excel,Data Entry,Data Analysis,Microsoft Office,Microsoft Power BI,Business Analysis,Computer Science,Big Data Analytics",M.Srour,"Imbaba, Giza, Egypt"
Junior Java Developer,"Java,JavaScript,Information Technology (IT),Software Development,Computer Science,Engineering,Programming,Python",Icity,"Maadi, Cairo, Egypt"
Data Science Supervisor,"BI,Python,Analysis,SQL,Data,ETL,MySQL",Raya Customer Experience,"6th of October, Giza, Egypt"
Data Management Specialist,"Information Technology (IT),Microsoft Excel,Data Entry,Data Analysis,Microsoft Office,Microsoft Power BI,Business Analysis",M.Srour,"Imbaba, Giza, Egypt"
Senior Computer Vision Engineer,"Computer Vision,Machine Learning,Deep Learning,Algorithms,Information Technology (IT),Software Engineering,Engineering,Computer Science",Tech SquAd,"6th of October, Giza, Egypt"
Linux Hosting Support Engineer,"Apache,HTML,Linux,MySQL,Python,Technical Support,PHP,Windows",Dimofinf Operations Center,"Nasr City, Cairo, Egypt"
Business Intelligence,"Business Intelligence,Data,SAP,SQL,Information Technology (IT),Microsoft Office,Computer Science,Python",Mobica,"Giza, Giza, Egypt"
Senior Ruby On Rails Developer,"CSS,HTML,PHP,MySQL,javaScript,Engineering,Computer Engineering,Computer Science",FlairsTech,"Cairo, Egypt"
Odoo Developer,"Odoo,Information Technology (IT),jQuery,HTML,Development,Computer Science,XML",Confidential,"Dokki, Giza, Egypt"
Data Engineer,"Computer Science,Information Technology (IT),Software Development,SQL,Analysis,Python,Big Data",Ashtar.app,"Maadi, Cairo, Egypt"
Data Scientist,"Business Intelligence,Computer Science,Data Science,data scientist,Engineering,Data,Hadoop",Chefaa IT,"Maadi, Cairo, Egypt"
Senior DevOps Engineer,"DevOps,Agile,Git,Azure,Information Technology (IT),Computer Science,Software Engineering,Docker","Nile Bits, LLC","Nasr City, Cairo, Egypt"
Senior Data Scientist,"Machine Learning,Python,R,data scientist,Computer Science,Cloud,Software Development",Nana,"Sheraton, Cairo, Egypt"
Senior Odoo SpecialistDeveloper,"Python,Odoo Development,Odoo ERP,magento2,AWS,Engineering,ERP,English",Mobile Wave 3,"Nasr City, Cairo, Egypt"
Senior Application Architect,"Design,Information Technology (IT),Software,Software Development,Software Engineering,Computer Science,Architecture,Microservices",CST Systems,"New Cairo, Cairo, Egypt"
Front End Developer,"Computer Science,Design,Development,HTML,Information Technology (IT),JavaScript,CSS,Programming",Confidential,"Cairo, Egypt"
"RPA Developer (Automation Anywhere, UiPath, Blue Prism)","RPA,Automation Anywhere,Automation,BluePrism,Software Development,Computer Science,Information Technology (IT),Python",Tarqeem Solutions,"Mohandessin, Giza, Egypt"
Testing Team Leader,"Agile,Computer Science,Software Development,Testing,Software Testing,ISTQB,Software Quality Assurance (SQA)",Atomica,"Cairo, Egypt"
Fullstack Engineer (Remote),"JavaScript,Node.js,MongoDB,React.js,HTML5,CSS,Sass,Gulp.js",Gemography,"Cairo, Egypt"
C++ Software Engineer (Automotive Industry),"C++,Computer Science,Software Engineering,Software Development,Communication skills,Information Technology (IT),OOP,Software",Confidential,"Cairo, Egypt"
Senior C++ Software Developer (Automotive),"C++,OOP,Software,Computer Science,programming,English,Information Technology (IT),Software Development",Confidential,"Cairo, Egypt"
Maximo Techno Functional Consultant,"MAximo,Implementation,Integration,SQL,MIF,JavaScript,Agile,Python",SSC Egypt,"6th of October, Giza, Egypt"
Linux Kernel Enginneer,"Software,Software Development,Software Engineering,Computer Science,SW Development,Automation,Information Technology (IT),Microservices",EXALT Technologies,"Cairo, Egypt"
Machine Learning Operations Engineer,"C++,Python,Software Engineering,Design,Engineering,Computer Vision,Machine Learning,Information Technology (IT)",Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt"
Senior Backend Developer,"Microsoft TFS,JIRA,Github,Python,Django Framework,Communication skills,Computer Science,Information Technology (IT)",Div Systems,"Mokattam, Cairo, Egypt"
Senior Software Tester (Manual & Automation),"Testing,QC,Manual Tester,Computer Science,Quality Control,Information Technology (IT),Quality Assurance",FlairsTech,"Maadi, Cairo, Egypt"
Web Developer,"Angular,Computer Science,backend,Full Stack,Information Technology (IT),JavaScript,MySQL,PHP",Conference Organizing Bureau,"Mohandessin, Giza, Egypt"
Senior Software Developer,"Software Development,Java,Agile,Computer Science,Computer Engineering,Scala,Ionic,iOS",Smartera 3S,"Alexandria, Egypt"
Ruby on Rails Developer (Back End),"Computer Science,Development,Software Development,Information Technology (IT),Software Engineering,Computer Engineering,HTML,JavaScript",Tays,"New Cairo, Cairo, Egypt"
Ruby ON Rails Developer,"Ruby on Rails,Software Development,JSON API’s,Computer Science,Information Technology (IT),JSON,Programming,Python",Digital Experts,"Cairo, Egypt"
Senior Devops Engineer,"Computer Science,Information Technology (IT),Software Development,Software Engineering,Engineering,Software,Development,Agile",Andela,"Cairo, Egypt"
Senior PHP Software Engineer,"PHP,Magneto,AJAX,NodeJS,Python,HTML,CSS,Computer Science",SSC Egypt,"Cairo, Egypt"
Odoo Senior Full Stack Developer,"Computer Science,Information Technology (IT),Software Development,Odoo Development,Odoo ERP,Odoo,Design,jQuery",Ebtikar IT,"Maadi, Cairo, Egypt"
Offensive Cyber Security Consultant,"Development,Cyber Security,Engineering,Information Technology (IT),Python,OSCP,Security,Linux",Softec Technologies,"Cairo, Egypt"
Devops Engineer - Software Development,"Agile,AWS,Computer Science,DevOps,Docker,Engineering,Information Technology (IT),Java",Rasan,"Nasr City, Cairo, Egypt"
Odoo Developer,"Computer Science,Programming,Odoo,Development,Python,Information Technology (IT),jQuery,JavaScript",Knowledge BI,"Cairo, Egypt"
Senior BI Developer-KSA,"T-SQL,OLAP,BI,SQL,SSRS,ETL,Power BI,Data Warehouse",LINK Development,"Maadi, Cairo, Egypt"
Linux Administrator (Remote),"Linux,Linux administrator,Information Technology (IT),Azure,AWS,System Administration,Computer Science,Networking",ServerHub,"Dallas, United States"
Product Owner - Health Care SaaS Platform,"CSPO,Product Management,PHP Development,WordPress,JavaScript,Python,Health Care",Confidential,"Cairo, Egypt"
Odoo Developer,"ERP,Functional,Information Technology (IT),Odoo,Communication skills,Computer Science,Project Management,Python",Egypt Gold,"Heliopolis, Cairo, Egypt"
Senior Python Developer,"Software Development,Python,C++,Information Technology (IT),Computer Science,SQL,Programming,Electronics",ElSewedy Electrometer,"6th of October, Giza, Egypt"
Cloud Solution Engineer - R&D,"Azure,Cloud,Computer Engineering,Computer Science,Docker,Engineering,Information Technology (IT),Linux",Link Datacenter,"Giza, Egypt"
Software Test Lead,"Software Testing,Python Scripting,API,Quality Control,Computer Engineering,Computer Science,Information Technology (IT)",RDI,"Dokki, Giza, Egypt"
Linux System Administrator,"Administration,Linux,Engineering,Security,System Administration,AWS,Computer Science,English",Softxpert Incorporation,"Alexandria, Egypt"
Full Stack (Growth) Engineer,"JavaScript,Computer Science,Marketing,Social Media,HTML,CSS,APIs,MySQL",Studygram Worldwide,"New Cairo, Cairo, Egypt"
Software Solution Architect - Cairo,"Java,Python,DevOps,Docker,Kotlin,JVM,k8",SSC Egypt,"Cairo, Egypt"
Pen Tester- Cyber Security Engineer,"Computer Engineering,Computer Science,Engineering,firewalls,Hacking,Information Technology (IT),Maintenance",Fixed Solutions,"Sheraton, Cairo, Egypt"
Head of IT Department,"CI/CD,Computer Science,Information Technology (IT),IT,Python,Security,DevOps,CI",Misr Elkheir Foundation,"Mokattam, Cairo, Egypt"
Senior Backend Engineer - Operations Domain,"Agile,Computer Science,Engineering,English,HTML,Information Technology (IT),JavaScript,MySQL",Nana,"Sheraton, Cairo, Egypt"
Odoo Developer,"HTML,Odoo Development,Odoo,Odoo ERP,python development,Python,Software Development,Software Engineering",Confidential,"Nasr City, Cairo, Egypt"
Staff Backend Engineer - Customer Domain,"Computer Science,Information Technology (IT),API,Git,NoSQL,Programming,Python,Software",Nana,"Sheraton, Cairo, Egypt"
Odoo Developer,"Odoo,Accounting,Business Systems,Python,Information Technology (IT),Computer Science",Perfect Presentation,"6th of October, Giza, Egypt"
Data Architect,"Information Technology (IT),ETL,Data Modeling,Database,Data,Big Data,Computer Engineering",Silicon Egypt,"Nasr City, Cairo, Egypt"
Odoo Developer,"Odoo,Software Development,GitHub,HTML,PostgreSQL,JavaScript,JQuery,ORM",Yodawy,"Cairo, Egypt"
Senior Full Stack Developer,"Python,Django Framework,React js,SQL Server,SQL datasets,Information Technology (IT),Computer Science,Django",Div Systems,"Mokattam, Cairo, Egypt"
Data ScientistML Engineer,"Computer Science,Machine Learning,Data Science,Python,Engineering,ETL,Cloud,Information Technology (IT)",TMentors,"Maadi, Cairo, Egypt"
Data & Analytics Lead,"Computer Science,Data,Data Analysis,English,Information Technology (IT),Python,SQL",Kashier Payment Solutions,"Zamalek, Cairo, Egypt"
Full Stack Java Developer (Remotely for USA),"Full Stack,Computer Science,Java,JavaScript,React,CSS,Python,jQuery",Mobile Wave 3,"Nasr City, Cairo, Egypt"
Odoo Developer,"Development,Computer Science,Information Technology (IT),Odoo,Python,Programming,XML",Engosoft,"Nasr City, Cairo, Egypt"
Junior Software Engineer,"Information Technology (IT),Computer Science,Software Engineering,Software Development,Engineering,javaScript,Software,HTML","Telecom Systems Provider, LLC","Maadi, Cairo, Egypt"
IoT Lab Specialist - Assiut,"Software Engineering,Software Development,Java,Python,Electronics,Altium,Proteus,Eagle",Cultiv,"New Assuit, Assiut, Egypt"
Full Stack Developer,"Python,Programming,NoSQL,JavaScript,Information Technology (IT),Engineering,Computer Science,Software Development",Confidential,"Downtown, Cairo, Egypt"
Senior Devops Engineer,"Engineering,Design,Java,Information Technology (IT),DevOps,Software Development,Computer Science,Python",TriStar MENA,"Riyadh, Saudi Arabia"
Dev-Ops Engineer (Remotely for USA),"Cloud,Computer Science,DevOps,AWS,Information Technology (IT),Java,Kubernetes,Python",Mobile Wave 3,"Nasr City, Cairo, Egypt"
Senior Full Stack Developer,"Information Technology (IT),Computer Science,Software Development,Software Engineering,Software,CSS,HTML,javaScript",Dafater,"Heliopolis, Cairo, Egypt"
Senior Robotics Engineer,"Agile,Information Technology (IT),Robotics,Python,Software,Software Development,Communication skills",Icity,"Maadi, Cairo, Egypt"
Senior Mobile App Application,"kISS,MVVM,Python,Django,flutter,Mobile App,application,Engineering",Div Systems,"Mokattam, Cairo, Egypt"
Senior Java Developer  Software Engineer,"AWS,React,ORM,Python,Java,SQL,Software Engineering,Software Development",Egybell,"Nasr City, Cairo, Egypt"
Cloud DevOps Intern,"Information Technology (IT),Computer Science,AWS,Cloud,DevOps,Engineering,Docker",Appgain,"Dokki, Giza, Egypt"
Linux System Engineer,"Information Technology (IT),Engineering,Computer Engineering,Installation,Maintenance,Operations,Linux",ECC Solutions,"6th of October, Giza, Egypt"
Junior Robotics Engineer,"Engineering,PLC,Python,Robotics,Software,Information Technology (IT),Mechatronics",Icity,"Maadi, Cairo, Egypt"
Senior Front End Developer ( React JS ),"React js,Redux,HTML,SVG,Nods Js,Python,Django,front-end",Div Systems,"Mokattam, Cairo, Egypt"
Senior Rust Developer,"English,rust,python,Information Technology (IT),Software Development,Software Engineering",Evolvice GmbH,"Maadi, Cairo, Egypt"
(For USA) Front-End Security Developer,"JavaScript,Node.js,React.js,STEM,Redux,graphql,git,jira",Mobile Wave 3,"Nasr City, Cairo, Egypt"
BI Operation Support Specialist,"BI,Operations,Python,Power BI,Microsoft Power BI,SSIS,Engineering",B.TECH,"Nasr City, Cairo, Egypt"
Junior Software Engineer - BackEnd,"backend,Computer Science,engineer,Software,Software Development,Software Engineering,Software engineer,Information Technology (IT)",intella,"Dokki, Giza, Egypt"
Senior Devops Engineer,"CI/CD,DevOps,Security,Computer Science,Information Technology (IT),MySQL,Python,Software Development",Expeditions,"Cairo, Egypt"
Devops Engineer,"Computer Science,Information Technology (IT),DevOps,CI/CD,JIRA,Microsoft TFS,Cybersecurity,Java",Ejada (Cairo),"Cairo, Egypt"
Junior Data Warehouse Engineer Data Engineer,"Analysis,DBT,ML,Looker,Tableau,Python,SQL",360Imaging,"Dokki, Giza, Egypt"
Senior Voice Software Engineer,"Asterisk,AWS,Python,Java,Redis,MySQL,PostgreSQL,HTTP",Unifonic,"Cairo, Egypt"
DevOps: Site Reliability Engineer Support Engineer,"Jira,Saltstack,Jenkins,Linux,Oracle,MongoDB,Bash,Powershell",Cegedim,"New Cairo, Cairo, Egypt"
Senior DevOps Engineer,"System Administration,Linux,Network Adminstartion,Engineering,Windows Systems,MongoDB,Oracle,PostgreSQL",Cegedim,"New Cairo, Cairo, Egypt"
Test Software Engineer - Multinational,"Agile,Python,Jenkins,Software Development",Pillars,"Cairo, Egypt"
"Lead Software Engineer (TypescriptNode) (REMOTERECRUITMENT IN Q3, 2022)","JavaScript,MySQL,Programming,Software Development,Software Engineering,APIs,Agile,Computer Science",Aurora Tech N.V.,"Cairo, Egypt"
Big Data Engineer,"Big Data,Hadoop,Spark,Algorithms,Computer Engineering,Computer Science,Data,Engineering",Azentio Software,"Maadi, Cairo, Egypt"
Senior Ruby on Rails Engineer,"Rails,Ruby,Ruby on Rails,Back-End Development,AWS,IOT,Software Development,Web Development",Terkwaz Solutions,"Riyadh, Saudi Arabia"
Senior Front End Developer,"Computer Science,front-end,CSS,Information Technology (IT),JavaScript,Python,Software Development,Web",Dafater,"Nasr City, Cairo, Egypt"
NodeJS Backend Developer,"Engineering,Computer Science,Information Technology (IT),Software Development,Microservices,NoSQL,Nodejs,javaScript",Genwin,"Obour City, Cairo, Egypt"
Full Stack Engineer,"Computer Science,Full Stack,Engineering,Computer Engineering,Information Technology (IT),Java,PHP,JavaScript",Assistive Technologies,"New Capital, Cairo, Egypt"
Data Scientist & BI Developer,"Python,Data Science,Information Technology (IT),Data,Computer Science,Oracle Obiee,Microsoft Power BI,Power BI",Easy System,"Mokattam, Cairo, Egypt"
"C++ Software Developer, (Seniors ) - Multinational","C++,Python,Software Development,Development",Pillars,"Cairo, Egypt"
Systems Analyst,"System Analysis,Business Analysis,SQL,Data Analysis,Computer Science,Information Systems,Information Technology (IT)",Confidential,"Maadi, Cairo, Egypt"
Data Science Instructor,"Data Science,Computer Science,Computer Engineering,Python,Machine Learning,Deep Learning,Artificial Intelligence (AI)",EpsilonAI,"Nasr City, Cairo, Egypt"
Odoo Developer - Remotely (Urgently),"Python,Odoo,IT,Information Technology (IT),Computer Science",Confidential,"Cairo, Egypt"
Odoo Developer,"Odoo,JavaScript,jQuery,PostgreSQL,Python,XML,Programming,Git",ECS  Energy & Contracting Solutions,"Maadi, Cairo, Egypt"
Odoo Developer,"Business Systems,Python,PostgreSQL,CSS,Database,HTML,Computer Science,Odoo",SITA EGYPT,"6th of October, Giza, Egypt"
Senior RPA Developer .Net,".Net,English,Information Technology (IT),Development,Programming,Python,Software Development,Typescript",SmartTech Systems,"Nasr City, Cairo, Egypt"
Linux System Administrator,"Linux,Hosting,Information Technology (IT),Computer Science,Web Hosting,CPanel,WHM",Dimofinf Operations Center,"Nasr City, Cairo, Egypt"
Senior Odoo Developer,"Computer Science,Git,HTML,jQuery,JavaScript,XML,Development,Software Development",Ejadtech,"Dokki, Giza, Egypt"
Google Cloud Engineer,"Google cloud,google,Information Technology (IT),APIs,Computer Science,Engineering,Infrastructure,NodeJS","Nile Bits, LLC","6th of October, Giza, Egypt"
Hardware Engineer,"Engineering,Telecommunication,Information Technology (IT),Computer Science,Computer Engineering,Python,Computer Hardware,Hardware Implementation",ElSewedy Electrometer,"6th of October, Giza, Egypt"
Product Technical Writer,"Technical Writing,English,C++,Python,HTML,CSS,LMS",Mobile Wave 3,"Nasr City, Cairo, Egypt"
Computer Vision Engineer,"Computer Science,Algorithms,Information Technology (IT),Python,Deep Learning,TensorFlow,NumPy,Tracking algorithms",A1Softech,"Maadi, Cairo, Egypt"
Junior Full Stack Developer (.Net Core & Angular 9+),"Angular,.Net,ASP.Net,SQL,Web Development,Software Development,.Net Core,Full Stack Development",Dryve,"Cairo, Egypt"
Senior Full Stack Developer (.Net Core & Angular 9+),"Angular,.Net,ASP.Net,SQL,Web Development,Software Development,.Net Core,Full Stack Development",Dryve,"Cairo, Egypt"
Frontend Developer,"Computer Science,React,JavaScript,Python,Software Development,Programming,Frameworks",Egyptian Medical Syndicates Union,"Sayeda Zeinab, Cairo, Egypt"
R&D Engineer,"Design,SolidWorks,Mechatronics,Electronics,Programming,Software,CAD",Simplex,"Nasr City, Cairo, Egypt"
Game Development Lead,"Computer Science,Game development,Game,Design,3D,Information Technology (IT),Programming,Games",Confidential,"Cairo, Egypt"
JavaScript Developer - Cairo,"javaScript,Information Technology (IT),Front-End,HTML5,Software Development,Django,Computer Science,AngularJS",Paymob Solutions,"Maadi, Cairo, Egypt"
Full Stack Developer (Fully Remote Working),"Computer Science,Software Development,Python,React,SQL,JavaScript,AWS,Agile",Confidential,"Alexandria, Egypt"
Business Intelligence Developer,"Business Development,Tableau,Business Intelligence,Data Analysis,Python",Maxab,"Cairo, Egypt"
Odoo Developer,"CSS,JavaScript,Odoo,PostgreSQL,Python,XML,jQuery,HTML",Open Source,"6th of October, Giza, Egypt"
QA Automation Tester,"Computer Engineering,automated testing,Engineering,Information Technology (IT),Manual Testing,Quality Assurance,Python",Confidential,"Cairo, Egypt"
Robotics  Mechatronics Engineer,"Mechanical Engineering,Communication skills,Electrical Engineering,Engineering,Robotics,Mechatronics,Programming,Python,Software",Procoor,"New Cairo, Cairo, Egypt"
Full Stack Developer,"Computer Science,English,Information Technology (IT),Laravel,MySQL,PHP,Software Development,Python",Engosoft,"Nasr City, Cairo, Egypt"
Data Engineer,"Analysis,BI,Computer Engineering,Computer Science,Data,Engineering,Information Technology (IT),Python",Confidential,"Cairo, Egypt"
Research Scientist,"Data Science,optimization,python",Confidential,"Cairo, Egypt"
Senior Devops Engineer - Sweden,"DevOps,Docker,Engineering,Information Technology (IT),Python,Computer Engineering,Java,Software Development",ICT Cube,"Goeteborg, Sweden"
Odoo Developer,"Computer Science,Information Technology (IT),Python,Odoo,Software Development,XML,API,Programming",Confidential,"Victoria, Alexandria, Egypt"
System Engineer - Application Performance Monitoring (APM),"AppDynamics,.Net,Java,NodeJS,PHP,Linux,Bash,Perl",Ejada (Cairo),"Cairo, Egypt"
Software Support Engineer,"Technical Support,Software,Technical Office,Computer Science,MySQL,Git,PHP",Trufla,"Heliopolis, Cairo, Egypt"
QA Automation Engineer - Cairo,"Computer Science,Software Development,Computer Engineering,Information Technology (IT),Python,Django,Design Patterns,Unit Testing",EXALT Technologies,"Cairo, Egypt"
Senior Front End Developer - React,"JavaScript,Front-End,Software Development,Web Development,Computer Science,JQuery,Angular,HTML",Trufla,"Heliopolis, Cairo, Egypt"
Backend Developer,"back-end,Java,Ruby,RESTful APIs,microservice,python development",Khales,"Giza, Egypt"
Web Application Developer,"Computer Science,PHP Web Programming,Web Development,Web Marketing,SEO,Oracle,PHP,Java",Razaz Group,"New Cairo, Cairo, Egypt"
Software Development Manager,"Information Technology (IT),MVC,Software Engineering,Programming,Software Development",OdooTec,"Cairo, Egypt"
IT Specialist,"Computer Science,Information Systems,Information Technology (IT)",Egypro FME,"Maadi, Cairo, Egypt"
Lead Data Scientist,"Computer Science,Data,Data Science,Engineering,Machine Learning,SQL,Statistics",Confidential,"Cairo, Egypt"
Senior .Net developer,".Net,C#,Python,Software Development,JavaScript,Computer Science,Selenium,Information Technology (IT)",Expleo,"Maadi, Cairo, Egypt"
Senior Data Engineer,"Big Data,kafka,Spark,Hadoop,AWS,Computer Science,Database,Development",Unifonic,"Cairo, Egypt"
Test Automation Engineer,"Automation,Java,RPA,C#,Software Testing,Selenium,Testing",AFKAR Technology,"Giza, Egypt"
DevOps Engineer  Site Reliability Engineer - Jumia Pay,"Computer Science,Engineering,Site Reliability,Linux,DevOps,AWS,Python,Docker",Jumia,"Cairo, Egypt"
Software Engineer (WordPress),"JavaScript,PHP,WordPress,Information Technology (IT),Software Development,Software Engineering,English,Computer Science",LavaLoon,"Nasr City, Cairo, Egypt"
Computer Science Instructor (For Kids),"Teaching,Education,STEAM,Computer Skills,Astronomy,Science,Physics",EduZone,"New Cairo, Cairo, Egypt"
Software Quality Engineer,"Software,Git,Software Engineering,Programming,JavaScript,Linux,Software Development,Software Testing",ZINAD IT,"6th of October, Giza, Egypt"
Full Stack Developer,"Angular,JavaScript,CSS,HTML,Information Technology (IT),jQuery,MySQL,Software Development",Sceel.io,"Maadi, Cairo, Egypt"
GIS Developer,"GIS,Computer Science,Information Technology (IT),Software Development,Software Engineering,jQuery,JavaScript,HTML5",Perfect Presentation,"6th of October, Giza, Egypt"
Senior C++ Engineer,"C++,Computer Science,Information Technology (IT),Software Development,Integration,Engineering,Cloud",Brainology,"Cairo, Egypt"
Full Stack Developer,"Full Stack,Angular,Java,React,CSS,HTML,Information Technology (IT),JavaScript",Squadio,"Cairo, Egypt"
Odoo Developer,"Odoo ERP,ERP Implementation,Paython,Computer Science,Telecom Engineering,Engineering,ERP,Odoo Development",Alhakeema,"Nasr City, Cairo, Egypt"
BI Analyst,"Analysis,analytical,BI,business,Business Intelligence,Computer Science,Intelligence",4level1,"Maadi, Cairo, Egypt"
Senior Software Developer (Focusing on .NET),".Net Core,.Net,Information Technology (IT),Software Development,Computer Science,.NET,Software Engineering,Node.js",TMentors,"Maadi, Cairo, Egypt"
Senior Odoo Developer,"Computer Science,CSS,Agile,Information Technology (IT),HTML,Software Development,Odoo",aliaict,"Nasr City, Cairo, Egypt"
Robotics Engineer Instructor (For Kids),"Teaching,Education,STEAM,Computer Skills,Astronomy,Science,Physics",EduZone,"New Cairo, Cairo, Egypt"
Odoo Support Specialist,"Odoo,Customer Support,Communication skills,Customer Care,Customer Service,ERP,business",E3mel Business for Financial & Managerial Consultancy,"Maadi, Cairo, Egypt"
Engineering RoboticsCoding Facilitator (For Kids),"Teaching,Education,STEAM,Computer Skills,Astronomy,Science,Physics",EduZone,"New Cairo, Cairo, Egypt"
Full Stack Web Developer,"JavaScript,CSS,Full Stack,HTML,Information Technology (IT),PHP,Java,Computer Science",Confidential,"Nasr City, Cairo, Egypt"
Senior Power BI Developer,"Computer Science,English,Data Warehouse,BI,ETL,Information Technology (IT),Microsoft SQL Server,SQL",Meem Development,"Alexandria, Egypt"
Backend Developer,"API,Computer Science,Development,backend,Java,Linux,Programming,JavaScript",Egyptian Medical Syndicates Union,"Sayeda Zeinab, Cairo, Egypt"
Senior Software Tester (Banking Sector),"Automation,Banking Software,Banking,Computer Science,Design,Information Technology (IT),ISTQB",WEmng,"New Cairo, Cairo, Egypt"
DevSecOps Engineer,"DevSecOps,DevOps,Information Technology (IT),Java,Telecom Engineering,API,Ansible,AWS",SSC Egypt,"Cairo, Egypt"
